id,category_id,sub_id,question,image,answer_a,answer_b,answer_c,correct_answer,additional_info
1,1,1,Który z poniższych materiałów jest dobrym izolatorem elektrycznym?,,szkło,grafit,krzem,a,
2,1,2,"Obwód elektryczny składa się z kilku rezystorów o różnych wartościach i źródła zasilania. Połączenie, w którym przez wszystkie elementy płynie ten sam prąd nazywamy połączeniem:",,rezonansowym,szeregowym,równoległym,b,
3,1,3,Przez kondensator o impedancji 10 Ω płynie prąd przemienny o częstotliwości 50Hz i wartości 2A. Jaki będzie spadek napięcia na kondensatorze?,,10 V,50 V,20 V,c,
4,1,4,"Przez trzy równoległe rezystory 1 Ω, 2 Ω i 4 Ω płyną prądy odpowiednio 4 A, 2 A i 1A. Całkowite natężenie prądu płynącego w obwodzie to: ",,4 A,1 A,7 A,c,
5,1,5,"O ile spadnie napięcie 12 V akumulatora o rezystancji wewnętrznej 0,1 Ω przy poborze 10 A prądu?",,1 V,10 V,"0,1 V",a,
6,1,6,Łącząc równolegle źródła napięcia powinno się:,,łączyć źródła o tej samej wydajności prądowej,łączyć źródła tylko tego samego typu,zadbać by ich napięcia były jednakowe,c,
7,1,7,Jak nazywa się zdolność do gromadzenia energii w polu elektrycznym?,,opór,pojemność,kapacytancja,b,
8,1,8,Współczynnikiem skrócenia nazywamy:,,stosunek prędkości rozchodzenia się fali elektromagnetycznej w przewodzie do prędkości światła w próżni,stosunek prędkości rozchodzenia się fali elektromagnetycznej w przewodzie do prędkości dźwięku w powietrzu,"parametr wtyczki, określający o ile zostanie skrócony kabel po jej montażu",a,
9,1,9,"Jak nazywa się prąd, który zmienia swój kierunek w regularnych odstępach czasu?",,prąd stały,prąd przemienny,prąd siatki,b,
10,1,10,We wzmacniaczu tranzystorowym w układzie wspólnego kolektora obciążenie jest dołączane między:,,kolektor a zasilanie,bazę a kolektor,emiter a masę,c,
11,1,11,Od czego zależna jest rezystancja przewodu?,,"jego materiału, długości, przekroju i temperatury.","jego materiału, długości, przekroju i użytej izolacji.","jego materiału, długości, przekroju i napięcia pracy.",a,
12,1,12,Który przewód o tej samej długości i przekroju będzie miał największą rezystancję?,,wykonany z aluminium,wykonany z żelaza,wykonany z miedzi,b,
13,1,13,W obwodzie prądu stałego przez rezystor 1 kΩ płynie prąd 2 mA. Jaki jest spadek napięcia na rezystorze?,,200 V,2000 V,2 V,c,
14,1,14,"Do zasilacza o napięciu 12 V chcemy podłączyć diodę świecącą o napięciu przewodzenia 3 V i nominalnym prądzie 20 mA. Jaki rezystor należy włączyć w szereg, by ograniczyć prąd do nominalnej wartości?",,600 Ω,150 Ω,450 Ω,c,
15,1,15,Która z cech łączy szeregowy obwód rezonansowy LC z typową anteną (dipol półfalowy):,,w rezonansie stanowią tylko rezystancję,w rezonansie stanowią reaktancję pojemnościową,w rezonansie stanowią reaktancję indukcyjną,a,
16,1,16,"Wartość skuteczna napięcia sieciowego wynosi 230 V, ile wynosi jego amplituda?",,230 V,325 V,220 V,b,
17,1,17,Jaka jest zależność fazowa między przepływającym prądem a napięciem w szeregowym obwodzie rezonansowym w rezonansie?,,napięcie wyprzedza prąd o 90 stopni,prąd wyprzedza napięcie o 90 stopni,napięcie i prąd są zgodne w fazie,c,
18,1,18,"Działanie funkcji ""Noise Blanker"" polega na: ",,zwiększeniu pasma odbiornika,zmniejszeniu wzmocnienia odbiornika podczas okresowych impulsów zakłóceń ,przekierowaniu zakłóceń do kondensatora filtrującego,b,
19,1,19,"Modulacja CW nazywana jest modulacją wąskopasmową, czy zatem jest możliwe dowolne zawężanie filtra wejściowego odbiornika celem odcięcia bocznych sygnałów niepożądanych?",,można zawężać dowolnie,"nie można, poniżej pewnej wartości szerokości filtra sygnał staje się nieczytelny",można zawężać ale tylko o parzyste liczby herców,b,
20,1,20,W temperaturze pokojowej moc szumów termicznych w kanale o szerokości 1 Hz wynosi -174 dBm. Ile wynosi moc szumów w kanale o szerokości 10 kHz:,,-134 dBm,-214 dBm,-170 dBm,a,
21,1,21,"Panel fotowoltaiczny oddaje moc 24W i ładuje akumulator prądem 2A. Zakładając stuprocentową sprawność układu ładowania, jakie jest napięcie na akumulatorze?",,napięcie wynosi 24 V,napięcie wynosi 12 V,napięcie wynosi 48 V,b,
22,1,22,Rezystor ma wartość 200 Ω. Płynie przez niego prąd 300 mA. Jaka moc wydziela się na rezystorze?,,18 W,1800 W,"1,8 W",a,
23,1,23,Które z poniższych stwierdzeń opisuje modulację amplitudy (A3E)?,,posiada obie wstęgi boczne,nie posiada wstęg bocznych,jest odporna na przemodulowanie,a,
24,1,24,Modulacja PSK polega na:,,dyskretnej zmianie fazy sygnału,dyskretnej zmianie częstotliwości sygnału,nadawaniu obu wstęg bocznych na raz,a,
25,1,25,Jakie są trzy metody uzyskiwania modulacji jednowstęgowej?,,"detekcja obwiedni, przez zmianę częstotliwości fali nośnej, metoda sumacyjna","metoda filtrowa, metoda fazowa, metoda Weavera","metoda Marconiego, metoda Popowa, metoda kohererowa",b,
26,1,26,Która z wymienionych modulacji ma najwęższe pasmo?,,SSB,FM,CW,c,
27,1,27,"Jeśli dla sygnału AM amplituda sygnału modulującego równa jest amplitudzie fali nośnej, to mówimy, że:",,współczynnik głębokości modulacji wynosi 100%,sygnał jest przesterowany,jest to modulacja z wytłumioną falą nośną,a,
28,1,28,Szerokość kanału sygnału PSK31 wynosi:,,około 1 kHz,około 60 Hz,"około 31,25 Hz",c,
29,1,29,Jakie napięcie występuje na rezystorze o wartości 50 Ω przy dostarczeniu do niego mocy 200 W?,,100 V,10000 V,4 V,a,
30,1,30,"Siła elektromotoryczna ogniwa wynosi 1,5 V. Rezystancja wewnętrzna ogniwa wynosi 0,1 Ω. Z ogniwa pobieramy prąd 1 A. Jakie będzie napięcie na zaciskach ogniwa?",,"1,5 V",1 V,"1,4 V",c,
31,1,31,Liczba 31 w nazwie modulacji BPSK31 oznacza:,,liczbę znaków jakie można przesłać podczas jednej transmisji,szybkość przesyłania informacji - 31 Bd,głębokość modulacji - 31%,b,
32,1,32,W jaki sposób w emisjach cyfrowych można zapewnić korekcję błędów spowodowanych zakłóceniami i zanikami w łączności radiowej:,,przez wprowadzenie sumy kontrolnej CRC i ponowne wysyłanie tej samej informacji,robi to operator wprowadzając odpowiednią komendę do modemu,"nie wprowadza się korekcji, zaniki są naturalną cechą łączności cyfrowej",a,
33,1,33,Moc PEP jest:,,mocą średnią,mocą w szczytach modulacji,"mocą maksymalną tranzystora, po przekroczeniu której ulega uszkodzeniu",b,
